N_TOKENS,einsum,arch,energy,latency,ops_per_tensor_element,ops_per_cycle,allocation
1024,QK,Hybrid,0.0001943619056468312,8.768000043346547e-06,0.9912875121006777,478.3649597167969,AiM
1024,QK_softmax,Hybrid,2.5700598204347855e-06,1.2799999637991277e-07,0.5,256.0,AiM
1024,AV,Hybrid,0.0001933567799975528,8.711999726074282e-06,0.9912875121006777,481.4398498535156,AiM
1024,Z,Hybrid,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,AiM
1024,FFA,Hybrid,0.003091985407426836,0.00013929599663242698,0.9996949173225944,481.7716369628906,AiM
1024,FFB,Hybrid,0.00309155463936439,0.0001392720005242154,0.9996949173225944,481.85467529296875,AiM
4096,I,AiM,5.554348247885452e-15,1.5999999547489097e-08,0.5,256.0,
4096,V_new,AiM,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,
4096,K_new,AiM,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,
4096,Q_new,AiM,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,
4096,QK,AiM,0.0007774476225873248,3.5072000173386186e-05,0.9920077500605473,478.3649597167969,
4096,QK_softmax,AiM,1.0280239281739142e-05,5.119999855196511e-07,0.5,256.0,
4096,AV,AiM,0.000772996351856709,3.4823999158106744e-05,0.9920077500605473,481.7716369628906,
4096,Z,AiM,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,
4096,FFA,AiM,0.003091985407426836,0.00013929599663242698,0.9996949173225944,481.7716369628906,
4096,FFB,AiM,0.00309155463936439,0.0001392720005242154,0.9996949173225944,481.85467529296875,
4096,I,TPU,3.893493669693271e-07,1.2799999637991277e-07,0.5,32.000000905021835,
4096,V_new,TPU,0.001729720044959573,0.0005245439824648201,0.9995119570522206,31.984383694889125,
4096,K_new,TPU,0.001729720044959573,0.0005245439824648201,0.9995119570522206,31.984383694889125,
4096,Q_new,TPU,0.001729720044959573,0.0005245439824648201,0.9995119570522206,31.984383694889125,
